ADMINPANEL_CREATE_ITEM_WND_BONUS_TITLE	Bonus auswählen
ADMINPANEL_CREATE_ITEM_WND_STONE_TITLE	Stein auswählen
ADMINPANEL_CREATE_ITEM_WND_BONUS_CHAT_SELECT_BONUS	Du musst ein Bonus auswählen
ADMINPANEL_CREATE_ITEM_WND_BONUS_CHAT_SET_VALUE	Gebe einen Wert ein
ADMINPANEL_CREATE_ITEM_BTN_CREATE	Erstellen
ADMINPANEL_CREATE_ITEM_BTN_RESET	Zurücksetzen
ADMINPANEL_CREATE_ITEM_SEARCH	Suche :
ADMINPANEL_CREATE_ITEM_BONUS_1	Bonus 1
ADMINPANEL_CREATE_ITEM_BONUS_2	Bonus 2
ADMINPANEL_CREATE_ITEM_BONUS_3	Bonus 2
ADMINPANEL_CREATE_ITEM_BONUS_4	Bonus 4
ADMINPANEL_CREATE_ITEM_BONUS_5	Bonus 5
ADMINPANEL_CREATE_ITEM_TITLE_ITEM	Gegenstand
ADMINPANEL_CREATE_ITEM_TITLE_CONFIG	Einstellungen
ADMINPANEL_CREATE_ITEM_TITLE_EXT_CONFIG	Erweiterte Einstellungen
ADMINPANEL_CREATE_ITEM_SET_COUNT	Menge
ADMINPANEL_CREATE_ITEM_SET_PLAYER	Senden an
ADMINPANEL_CREATE_ITEM_SET_GRADE	Stufe
